query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,cw_s200_x253783.721_y3364952.517,0.619761,1,ok,applicable_success,4888.000000,0.977600,1.542495,0.000000,6915589.856089,19.764881,"[-0.7578067542280839, 3.0439497105079054, 0.0013549477389371727]","[1801760.8236344312, -2853219.1298688236, 2633.9349419284563]",253725.487311,3364941.549287,391.428031,0.356286
q_002,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364877.517,0.706106,1,ok,applicable_success,3840.000000,0.768154,3.205007,0.000000,14726593.483192,78.702737,"[0.7706497505593249, -3.0439729193638785, -0.022467988632801972]","[1824227.841991323, -2838305.7795837927, -47003.80171630696]",253820.693771,3364754.252284,390.434476,0.077703
q_003,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364502.517,0.727582,1,ok,applicable_success,3538.000000,0.708025,2.686275,0.000000,16648140.390993,83.242032,"[-0.7754183482026977, 3.0419858777736435, 0.013046081283878448]","[1833578.397400628, -2832428.7718666587, -23701.858107753073]",253886.319063,3364634.578786,391.690183,0.111660
q_004,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254383.721_y3364127.517,0.786725,1,ok,applicable_success,4461.000000,0.892914,2.490648,0.000000,19417896.758609,59.363051,"[-3.0270112605087944, -0.763037727185976, -0.029750849297844145]","[-1818888.5626683175, 2840947.9601481063, 43206.872667567535]",254339.007639,3364003.457983,391.657724,0.156990
q_005,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_006,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_007,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_008,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_009,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_010,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_011,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_012,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_013,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_014,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_015,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_016,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_017,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_018,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_019,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_020,DJI_202510311347_009_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_021,DJI_202510311413_010_新建面状航线1,20,20,cw_s500_x254758.721_y3364127.517,0.792354,1,ok,applicable_success,4724.000000,0.944989,1.805757,0.000000,14649584.464276,66.939294,"[-3.044352654895797, -0.7209721468666935, -0.0020555516866787487]","[-1736658.4643915063, 2892186.747803327, 40942.84999658411]",254991.642743,3364131.720373,391.393719,0.014655
q_022,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_023,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_024,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_025,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_026,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_027,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_028,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_029,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_030,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_031,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_032,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_033,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_034,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_035,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_036,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_037,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_038,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_039,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
q_040,DJI_202510311413_010_新建面状航线1,0,0,,,,missing_pnp_rows,applicable_failure,,,,,,,,,,,,
