query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y
q_001,1,cw_s200_x253783.721_y3364952.517,1.10018684509,200.000,253783.72102534556,3364952.5166208195
q_001,2,cw_s200_x254083.721_y3364052.517,0.440671080565,200.000,254083.72102534556,3364052.5166208195
q_001,3,cw_s200_x254083.721_y3365102.517,0.694219624979,200.000,254083.72102534556,3365102.5166208195
q_001,4,cw_s200_x255133.721_y3364052.517,0.339585095325,200.000,255133.72102534556,3364052.5166208195
q_001,5,cw_s200_x254233.721_y3364052.517,0.457765614623,200.000,254233.72102534556,3364052.5166208195
q_001,6,cw_s200_x254983.721_y3365252.517,0.392388832494,200.000,254983.72102534556,3365252.5166208195
q_001,7,cw_s200_x255133.721_y3364202.517,0.36335390735,200.000,255133.72102534556,3364202.5166208195
q_001,8,cw_s200_x254683.721_y3364052.517,0.573776432678,200.000,254683.72102534556,3364052.5166208195
q_001,9,cw_s200_x254983.721_y3364352.517,0.445623034598,200.000,254983.72102534556,3364352.5166208195
q_001,10,cw_s300_x255108.721_y3364327.517,0.602014040671,300.000,255108.72102534556,3364327.5166208195
q_001,11,cw_s200_x254833.721_y3364952.517,0.316772755179,200.000,254833.72102534556,3364952.5166208195
q_001,12,cw_s300_x254883.721_y3364327.517,0.209744461846,300.000,254883.72102534556,3364327.5166208195
q_001,13,cw_s300_x254208.721_y3364102.517,0.330450976669,300.000,254208.72102534556,3364102.5166208195
q_001,14,cw_s300_x255108.721_y3364102.517,0.2702771896,300.000,255108.72102534556,3364102.5166208195
q_001,15,cw_s300_x255108.721_y3365002.517,0.266767118313,300.000,255108.72102534556,3365002.5166208195
q_001,16,cw_s200_x254833.721_y3364052.517,0.276783240726,200.000,254833.72102534556,3364052.5166208195
q_001,17,cw_s300_x254883.721_y3365002.517,0.541342538759,300.000,254883.72102534556,3365002.5166208195
q_001,18,cw_s300_x254883.721_y3364102.517,0.148682957589,300.000,254883.72102534556,3364102.5166208195
q_001,19,cw_s200_x254833.721_y3364202.517,0.191728054052,200.000,254833.72102534556,3364202.5166208195
q_001,20,cw_s300_x254658.721_y3364102.517,0.461673053899,300.000,254658.72102534556,3364102.5166208195
q_002,1,cw_s200_x253783.721_y3364802.517,0.677867589105,200.000,253783.72102534556,3364802.5166208195
q_002,2,cw_s200_x253933.721_y3364802.517,1.06622157986,200.000,253933.72102534556,3364802.5166208195
q_002,3,cw_s200_x253933.721_y3364952.517,0.674321863895,200.000,253933.72102534556,3364952.5166208195
q_002,4,cw_s200_x253783.721_y3364652.517,0.623558785005,200.000,253783.72102534556,3364652.5166208195
q_002,5,cw_s300_x253983.721_y3365002.517,0.821762186478,300.000,253983.72102534556,3365002.5166208195
q_002,6,cw_s500_x254008.721_y3364502.517,0.77428639041,500.000,254008.72102534556,3364502.5166208195
q_002,7,cw_s300_x253983.721_y3364777.517,0.561035307561,300.000,253983.72102534556,3364777.5166208195
q_002,8,cw_s500_x254008.721_y3364877.517,0.62048421747,500.000,254008.72102534556,3364877.5166208195
q_002,9,cw_s300_x253983.721_y3364552.517,0.467428830247,300.000,253983.72102534556,3364552.5166208195
q_002,10,cw_s200_x254233.721_y3364052.517,0.517505045882,200.000,254233.72102534556,3364052.5166208195
q_002,11,cw_s200_x253933.721_y3364352.517,0.35109593233,200.000,253933.72102534556,3364352.5166208195
q_002,12,cw_s200_x254233.721_y3364952.517,0.288432029471,200.000,254233.72102534556,3364952.5166208195
q_002,13,cw_s300_x254208.721_y3365002.517,0.312703238125,300.000,254208.72102534556,3365002.5166208195
q_002,14,cw_s200_x254683.721_y3364952.517,0.199184364508,200.000,254683.72102534556,3364952.5166208195
q_002,15,cw_s300_x254658.721_y3365002.517,0.189053340465,300.000,254658.72102534556,3365002.5166208195
q_002,16,cw_s300_x254658.721_y3365227.517,0.436705919387,300.000,254658.72102534556,3365227.5166208195
q_002,17,cw_s300_x255108.721_y3365227.517,0.278659622288,300.000,255108.72102534556,3365227.5166208195
q_002,18,cw_s200_x254683.721_y3364202.517,0.278059794097,200.000,254683.72102534556,3364202.5166208195
q_002,19,cw_s300_x254208.721_y3365227.517,0.210803397258,300.000,254208.72102534556,3365227.5166208195
q_002,20,cw_s500_x254758.721_y3364877.517,0.272472651515,500.000,254758.72102534556,3364877.5166208195
q_003,1,cw_s200_x253933.721_y3364802.517,0.678401515008,200.000,253933.72102534556,3364802.5166208195
q_003,2,cw_s300_x253983.721_y3364327.517,0.679091625586,300.000,253983.72102534556,3364327.5166208195
q_003,3,cw_s300_x253983.721_y3364552.517,1.04055515027,300.000,253983.72102534556,3364552.5166208195
q_003,4,cw_s200_x253933.721_y3364952.517,0.627189109091,200.000,253933.72102534556,3364952.5166208195
q_003,5,cw_s200_x253933.721_y3364652.517,0.601508707443,200.000,253933.72102534556,3364652.5166208195
q_003,6,cw_s200_x253933.721_y3364502.517,0.750508913152,200.000,253933.72102534556,3364502.5166208195
q_003,7,cw_s200_x253933.721_y3364352.517,0.590841423593,200.000,253933.72102534556,3364352.5166208195
q_003,8,cw_s500_x254008.721_y3364502.517,0.81903544243,500.000,254008.72102534556,3364502.5166208195
q_003,9,cw_s200_x254083.721_y3364652.517,0.606251963865,200.000,254083.72102534556,3364652.5166208195
q_003,10,cw_s200_x254833.721_y3365252.517,0.465047837065,200.000,254833.72102534556,3365252.5166208195
q_003,11,cw_s300_x254883.721_y3365227.517,0.329336202336,300.000,254883.72102534556,3365227.5166208195
q_003,12,cw_s300_x254208.721_y3365002.517,0.341385808969,300.000,254208.72102534556,3365002.5166208195
q_003,13,cw_s200_x254683.721_y3365252.517,0.332388010941,200.000,254683.72102534556,3365252.5166208195
q_003,14,cw_s300_x254658.721_y3365227.517,0.183647359652,300.000,254658.72102534556,3365227.5166208195
q_003,15,cw_s200_x254233.721_y3364952.517,0.268648039778,200.000,254233.72102534556,3364952.5166208195
q_003,16,cw_s200_x254233.721_y3365102.517,0.216656384713,200.000,254233.72102534556,3365102.5166208195
q_003,17,cw_s200_x254683.721_y3364202.517,0.177497858252,200.000,254683.72102534556,3364202.5166208195
q_003,18,cw_s200_x254233.721_y3365252.517,0.274229107696,200.000,254233.72102534556,3365252.5166208195
q_003,19,cw_s200_x254833.721_y3365102.517,0.419055909254,200.000,254833.72102534556,3365102.5166208195
q_003,20,cw_s300_x254208.721_y3365227.517,0.280447701492,300.000,254208.72102534556,3365227.5166208195
q_004,1,cw_s200_x254383.721_y3364052.517,0.920492553208,200.000,254383.72102534556,3364052.5166208195
q_004,2,cw_s200_x254533.721_y3364052.517,0.666628168999,200.000,254533.72102534556,3364052.5166208195
q_004,3,cw_s300_x254433.721_y3364102.517,0.994861152159,300.000,254433.72102534556,3364102.5166208195
q_004,4,cw_s200_x254533.721_y3364202.517,0.617579902325,200.000,254533.72102534556,3364202.5166208195
q_004,5,cw_s300_x254433.721_y3364327.517,0.456641402375,300.000,254433.72102534556,3364327.5166208195
q_004,6,cw_s500_x254383.721_y3364127.517,0.708276233066,500.000,254383.72102534556,3364127.5166208195
q_004,7,cw_s300_x254658.721_y3364327.517,0.678500506138,300.000,254658.72102534556,3364327.5166208195
q_004,8,cw_s200_x254683.721_y3364352.517,0.412438120148,200.000,254683.72102534556,3364352.5166208195
q_004,9,cw_s200_x254083.721_y3364802.517,0.337590516441,200.000,254083.72102534556,3364802.5166208195
q_004,10,cw_s200_x254833.721_y3364802.517,0.306004788072,200.000,254833.72102534556,3364802.5166208195
q_004,11,cw_s300_x254208.721_y3364777.517,0.359615607784,300.000,254208.72102534556,3364777.5166208195
q_004,12,cw_s300_x254433.721_y3365227.517,0.175465353925,300.000,254433.72102534556,3365227.5166208195
q_004,13,cw_s300_x254658.721_y3364552.517,0.269432009614,300.000,254658.72102534556,3364552.5166208195
q_004,14,cw_s300_x253983.721_y3364777.517,0.20756763421,300.000,253983.72102534556,3364777.5166208195
q_004,15,cw_s300_x254658.721_y3364777.517,0.512329299177,300.000,254658.72102534556,3364777.5166208195
q_004,16,cw_s200_x254383.721_y3364352.517,0.310269940274,200.000,254383.72102534556,3364352.5166208195
q_004,17,cw_s200_x254383.721_y3365252.517,0.220470097186,200.000,254383.72102534556,3365252.5166208195
q_004,18,cw_s500_x254008.721_y3364877.517,0.289269208449,500.000,254008.72102534556,3364877.5166208195
q_004,19,cw_s300_x254883.721_y3364777.517,0.223988789251,300.000,254883.72102534556,3364777.5166208195
q_004,20,cw_s500_x254758.721_y3364877.517,0.240742436683,500.000,254758.72102534556,3364877.5166208195
q_021,1,cw_s200_x254983.721_y3364202.517,1.0153628519,200.000,254983.72102534556,3364202.5166208195
q_021,2,cw_s200_x254983.721_y3364052.517,0.773105093829,200.000,254983.72102534556,3364052.5166208195
q_021,3,cw_s200_x254983.721_y3364352.517,1.05392054081,200.000,254983.72102534556,3364352.5166208195
q_021,4,cw_s200_x254833.721_y3363902.517,0.733181619649,200.000,254833.72102534556,3363902.5166208195
q_021,5,cw_s200_x254833.721_y3364052.517,0.90609924592,200.000,254833.72102534556,3364052.5166208195
q_021,6,cw_s200_x254833.721_y3364202.517,0.798657148109,200.000,254833.72102534556,3364202.5166208195
q_021,7,cw_s200_x254833.721_y3364352.517,0.755107275274,200.000,254833.72102534556,3364352.5166208195
q_021,8,cw_s200_x254683.721_y3363902.517,0.68239006704,200.000,254683.72102534556,3363902.5166208195
q_021,9,cw_s200_x254683.721_y3364052.517,0.704344731721,200.000,254683.72102534556,3364052.5166208195
q_021,10,cw_s200_x254683.721_y3364202.517,0.585380635957,200.000,254683.72102534556,3364202.5166208195
q_021,11,cw_s300_x254883.721_y3364102.517,1.04145834281,300.000,254883.72102534556,3364102.5166208195
q_021,12,cw_s300_x254883.721_y3364327.517,1.05113180689,300.000,254883.72102534556,3364327.5166208195
q_021,13,cw_s300_x255108.721_y3364102.517,0.833899932732,300.000,255108.72102534556,3364102.5166208195
q_021,14,cw_s300_x255108.721_y3364327.517,0.982472576941,300.000,255108.72102534556,3364327.5166208195
q_021,15,cw_s200_x255133.721_y3364202.517,0.550835521291,200.000,255133.72102534556,3364202.5166208195
q_021,16,cw_s300_x254658.721_y3364102.517,0.703601684665,300.000,254658.72102534556,3364102.5166208195
q_021,17,cw_s500_x254758.721_y3364127.517,0.776139095106,500.000,254758.72102534556,3364127.5166208195
q_021,18,cw_s200_x254083.721_y3364052.517,0.138693871083,200.000,254083.72102534556,3364052.5166208195
q_021,19,cw_s300_x254883.721_y3365002.517,0.280258583315,300.000,254883.72102534556,3365002.5166208195
q_021,20,cw_s500_x254008.721_y3364127.517,0.125342626926,500.000,254008.72102534556,3364127.5166208195
